,Open
2022-06-27 00:00:00,33.58016205
2022-06-28 00:00:00,33.59595871
2022-06-29 00:00:00,33.5967865
2022-06-30 00:00:00,33.61809158
2022-07-01 00:00:00,33.63083649
2022-07-02 00:00:00,33.64419556
2022-07-03 00:00:00,33.64601517
2022-07-04 00:00:00,33.64497757
2022-07-05 00:00:00,33.64722061
2022-07-06 00:00:00,33.65338516
2022-07-07 00:00:00,33.6636734
2022-07-08 00:00:00,33.66584396
2022-07-09 00:00:00,33.66394043
2022-07-10 00:00:00,33.65628815
2022-07-11 00:00:00,33.64424133
2022-07-12 00:00:00,33.64718628
2022-07-13 00:00:00,33.65602112
2022-07-14 00:00:00,33.68377304
2022-07-15 00:00:00,33.69654846
2022-07-16 00:00:00,33.70361328
2022-07-17 00:00:00,33.69565582
2022-07-18 00:00:00,33.68901062
2022-07-19 00:00:00,33.68629837
2022-07-20 00:00:00,33.69556427
2022-07-21 00:00:00,33.70077896
2022-07-22 00:00:00,33.70700073
2022-07-23 00:00:00,33.70715714
2022-07-24 00:00:00,33.70919037
2022-07-25 00:00:00,33.71075439
2022-07-26 00:00:00,33.7193222
2022-07-27 00:00:00,33.72536469
2022-07-28 00:00:00,33.73072052
2022-07-29 00:00:00,33.74710083
2022-07-30 00:00:00,33.75711441
2022-07-31 00:00:00,33.76966858
2022-08-01 00:00:00,33.77742004
2022-08-02 00:00:00,33.77256393
2022-08-03 00:00:00,33.77009583
2022-08-04 00:00:00,33.76591873
2022-08-05 00:00:00,33.75548172
2022-08-06 00:00:00,33.75963593
2022-08-07 00:00:00,33.76305389
2022-08-08 00:00:00,33.75586319
2022-08-09 00:00:00,33.75239944
2022-08-10 00:00:00,33.7497406
2022-08-11 00:00:00,33.74827576
2022-08-12 00:00:00,33.74250031
2022-08-13 00:00:00,33.74454498
2022-08-14 00:00:00,33.74617767
2022-08-15 00:00:00,33.74630737
2022-08-16 00:00:00,33.74485779
2022-08-17 00:00:00,33.74042892
2022-08-18 00:00:00,33.72055817
2022-08-19 00:00:00,33.7123642
2022-08-20 00:00:00,33.72195435
2022-08-21 00:00:00,33.71851349
2022-08-22 00:00:00,33.73074341
2022-08-23 00:00:00,33.74016571
2022-08-24 00:00:00,33.7535553
2022-08-25 00:00:00,33.77129745
2022-08-26 00:00:00,33.77993011
2022-08-27 00:00:00,33.78056335
2022-08-28 00:00:00,33.79016113
2022-08-29 00:00:00,33.78539276
2022-08-30 00:00:00,33.78069305
2022-08-31 00:00:00,33.76886749
2022-09-01 00:00:00,33.77822113
2022-09-02 00:00:00,33.77803802
2022-09-03 00:00:00,33.78639984
2022-09-04 00:00:00,33.79855728
2022-09-05 00:00:00,33.80722046
2022-09-06 00:00:00,33.8115921
2022-09-07 00:00:00,33.82352448
2022-09-08 00:00:00,33.8249054
2022-09-09 00:00:00,33.82782745
2022-09-10 00:00:00,33.84030151
2022-09-11 00:00:00,33.83115005
2022-09-12 00:00:00,33.82079315
2022-09-13 00:00:00,33.81772614
2022-09-14 00:00:00,33.80939484
2022-09-15 00:00:00,33.81248474
2022-09-16 00:00:00,33.81312561
2022-09-17 00:00:00,33.83761215
2022-09-18 00:00:00,33.83811188
2022-09-19 00:00:00,33.89221191
2022-09-20 00:00:00,33.94468689
2022-09-21 00:00:00,33.9692688
2022-09-22 00:00:00,34.03256226
2022-09-23 00:00:00,34.05101013
2022-09-24 00:00:00,34.04948425
2022-09-25 00:00:00,34.06175232
2022-09-26 00:00:00,34.0678215
2022-09-27 00:00:00,34.08095551
2022-09-28 00:00:00,34.08905792
2022-09-29 00:00:00,34.10078812
2022-09-30 00:00:00,34.11783218
2022-10-01 00:00:00,34.10861588
2022-10-02 00:00:00,34.10076904
2022-10-03 00:00:00,34.13430786
2022-10-04 00:00:00,34.17108536
2022-10-05 00:00:00,34.16397095
2022-10-06 00:00:00,34.18707275
2022-10-07 00:00:00,34.21089935
