,Open
2023-03-09,154.2861633
2023-03-10,154.3702393
2023-03-11,154.4475708
2023-03-12,154.4955444
2023-03-13,154.5481262
2023-03-14,154.6116791
2023-03-15,154.6801758
2023-03-16,154.7067261
2023-03-17,154.6958618
2023-03-18,154.66922
2023-03-19,154.6400452
2023-03-20,154.7341461
2023-03-21,154.8118744
2023-03-22,154.8815918
2023-03-23,154.9601135
2023-03-24,155.0529785
2023-03-25,155.1407623
2023-03-26,155.1782532
2023-03-27,155.1928406
2023-03-28,155.2290344
2023-03-29,155.2803955
2023-03-30,155.329361
2023-03-31,155.3420715
2023-04-01,155.3264465
2023-04-02,155.2908936
2023-04-03,155.2787933
2023-04-04,155.2787781
2023-04-05,155.2822113
2023-04-06,155.2862549
2023-04-07,155.3028259
2023-04-08,155.3265076
2023-04-09,155.3732147
2023-04-10,155.4222717
2023-04-11,155.471405
2023-04-12,155.4909668
2023-04-13,155.4934082
2023-04-14,155.4833984
2023-04-15,155.4495544
2023-04-16,155.4282379
2023-04-17,155.4172058
2023-04-18,155.3800964
2023-04-19,155.3351288
2023-04-20,155.3013916
2023-04-21,155.2750549
2023-04-22,155.2500916
2023-04-23,155.1942902
2023-04-24,155.1138611
2023-04-25,154.9997253
2023-04-26,154.8771362
2023-04-27,154.7985229
2023-04-28,154.7596741
2023-04-29,154.7294617
2023-04-30,154.7056274
2023-05-01,154.6964874
2023-05-02,154.7022095
2023-05-03,154.6996307
2023-05-04,154.7171021
2023-05-05,154.7434692
2023-05-06,154.782547
2023-05-07,154.8251343
2023-05-08,154.8652496
2023-05-09,154.9008789
2023-05-10,154.9372559
2023-05-11,154.9938965
2023-05-12,155.063858
2023-05-13,155.1277313
2023-05-14,155.129776
2023-05-15,155.1250305
2023-05-16,155.1151428
2023-05-17,155.105011
2023-05-18,155.0915985
2023-05-19,155.0884857
2023-05-20,155.1351166
2023-05-21,155.2442627
2023-05-22,155.3856506
2023-05-23,155.509552
2023-05-24,155.5995178
2023-05-25,155.7409515
2023-05-26,155.8694916
2023-05-27,155.9900208
2023-05-28,156.0990906
2023-05-29,156.1828766
2023-05-30,156.2454071
2023-05-31,156.2799988
2023-06-01,156.2842407
2023-06-02,156.2461853
2023-06-03,156.22052
2023-06-04,156.18927
2023-06-05,156.152832
2023-06-06,156.139801
2023-06-07,156.1536255
2023-06-08,156.1789703
2023-06-09,156.1937408
2023-06-10,156.1943817
2023-06-11,156.1577759
2023-06-12,156.1195679
2023-06-13,156.0805359
2023-06-14,156.0561523
2023-06-15,156.019989
2023-06-16,155.97258
2023-06-17,155.9436951
2023-06-18,155.9260559
2023-06-19,155.9220428
2023-06-20,155.9367371
2023-06-21,155.9591064
2023-06-22,155.9789276
2023-06-23,156.00914
2023-06-24,156.0624695
2023-06-25,156.1019287
2023-06-26,156.129776
2023-06-27,156.1562805
2023-06-28,156.1799622
2023-06-29,156.1516571
2023-06-30,156.1147614
2023-07-01,156.0886536
2023-07-02,156.0530396
2023-07-03,156.0304565
2023-07-04,156.0354614
2023-07-05,156.0429688
2023-07-06,156.065155
2023-07-07,156.092041
2023-07-08,156.1130981
2023-07-09,156.1230011
2023-07-10,156.1444092
2023-07-11,156.1811829
2023-07-12,156.2252502
2023-07-13,156.2621765
2023-07-14,156.3140411
2023-07-15,156.3506927
2023-07-16,156.3660889
2023-07-17,156.3809357
2023-07-18,156.369278
2023-07-19,156.3236694
2023-07-20,156.2618408
2023-07-21,156.1752625
2023-07-22,156.0641785
2023-07-23,155.9774017
2023-07-24,155.9078522
2023-07-25,155.8016663
2023-07-26,155.6514282
2023-07-27,155.5088806
2023-07-28,155.4180756
2023-07-29,155.3013916
2023-07-30,155.1632385
2023-07-31,155.1083679
2023-08-01,155.1146088
2023-08-02,155.1612396
2023-08-03,155.2912598
2023-08-04,155.445282
2023-08-05,155.5832214
2023-08-06,155.701889
2023-08-07,155.8035126
2023-08-08,155.910675
2023-08-09,156.0361786
2023-08-10,156.1612854
2023-08-11,156.2662354
2023-08-12,156.322113
2023-08-13,156.3360901
2023-08-14,156.3564606
2023-08-15,156.3827057
2023-08-16,156.3781891
2023-08-17,156.3796234
2023-08-18,156.4072723
2023-08-19,156.4576111
2023-08-20,156.5043945
2023-08-21,156.5207672
2023-08-22,156.5247498
2023-08-23,156.519577
2023-08-24,156.4845734
2023-08-25,156.4455261
2023-08-26,156.3848114
2023-08-27,156.2939148
