Date,Apple,BAC,PFE,PG,XOM,Market,Apple%,BAC%,PFE%,PG%,XOM%,Market%,,,,,
2022-06-27,147.557312,33.58016205,51.38529205,143.1307831,87.62689209,92.65608826,,,,,,,,,,,
2022-06-28,147.6405945,33.59595871,51.41364288,143.131134,87.6210022,92.68046646,0.000564408,0.000470416,0.00055173,2.45197E-06,-6.72156E-05,0.000263104,,,,,
2022-06-29,147.7371368,33.5967865,51.44540024,143.1388855,87.61681366,92.70700455,0.000653901,2.46396E-05,0.000617683,5.41564E-05,-4.78029E-05,0.00028634,,,,Variance of market,2.21786136
2022-06-30,147.8366852,33.61809158,51.47687912,143.1415405,87.61833191,92.73830566,0.000673821,0.000634141,0.000611889,1.85486E-05,1.73283E-05,0.000337635,,,,Beta Apple,0.213888595
2022-07-01,147.9366608,33.63083649,51.50749207,143.1377258,87.62084961,92.76671295,0.000676257,0.000379108,0.000594693,-2.66498E-05,2.87349E-05,0.000306317,,,,Beta BAC,0.077285744
2022-07-02,148.0337372,33.64419556,51.53941345,143.1343079,87.62553406,92.79543762,0.000656203,0.000397227,0.000619743,-2.38789E-05,5.34627E-05,0.000309644,,,,Beta PFE,8.414956993
2022-07-03,148.1123962,33.64601517,51.57089996,143.1229095,87.63214111,92.81687241,0.000531359,5.40839E-05,0.000610921,-7.96337E-05,7.5401E-05,0.00023099,,,,Beta PG,0.01566027
2022-07-04,148.1500549,33.64497757,51.60419464,143.1107483,87.63089752,92.82817459,0.000254258,-3.08386E-05,0.00064561,-8.49707E-05,-1.4191E-05,0.000121769,,,,Beta XOM,-0.044752671
2022-07-05,148.1398621,33.64722061,51.63883209,143.1159668,87.64500427,92.83737717,-6.8801E-05,6.6668E-05,0.000671214,3.64648E-05,0.000160979,9.91356E-05,,,,,
2022-07-06,148.0885925,33.65338516,51.67681885,143.1198578,87.66423035,92.84057693,-0.000346089,0.000183211,0.000735624,2.71877E-05,0.000219363,3.44664E-05,,,,,
2022-07-07,148.1920929,33.6636734,51.71789551,143.1237946,87.67571259,92.87463379,0.000698908,0.000305712,0.000794876,2.75068E-05,0.00013098,0.000366832,,,,,
2022-07-08,148.329071,33.66584396,51.76063538,143.1122742,87.69089508,92.91174393,0.000924328,6.44779E-05,0.000826404,-8.04925E-05,0.000173166,0.000399572,,,,,
2022-07-09,148.4850616,33.66394043,51.80917358,143.1010742,87.73955536,92.95976105,0.001051652,-5.6542E-05,0.000937744,-7.82599E-05,0.000554907,0.000516804,,,,,
2022-07-10,148.6591187,33.65628815,51.87462616,143.1057129,87.75613403,93.01037598,0.001172219,-0.000227314,0.00126334,3.24154E-05,0.000188953,0.000544482,,,,,
2022-07-11,148.8185577,33.64424133,51.92813492,143.122879,87.7807312,93.05890884,0.001072515,-0.000357936,0.001031502,0.000119954,0.00028029,0.000521801,,,,,
2022-07-12,148.9572449,33.64718628,51.95156097,143.1507568,87.77481842,93.09631348,0.000931921,8.7532E-05,0.000451125,0.000194782,-6.73585E-05,0.000401946,,,,,
2022-07-13,149.0807495,33.65602112,51.95859146,143.1518555,87.76712799,93.12286911,0.000829128,0.000262573,0.000135328,7.67466E-06,-8.76154E-05,0.000285249,,,,,
2022-07-14,149.2092896,33.68377304,51.96052933,143.1470337,87.76451874,93.15302887,0.000862218,0.000824575,3.72964E-05,-3.3683E-05,-2.97293E-05,0.000323871,,,,,
2022-07-15,149.3437805,33.69654846,51.94785309,143.137085,87.75691223,93.17643585,0.000901358,0.000379275,-0.000243959,-6.95001E-05,-8.66695E-05,0.000251275,,,,,
2022-07-16,149.4772186,33.70361328,51.93244171,143.1222992,87.74609375,93.19633331,0.000893496,0.00020966,-0.00029667,-0.000103298,-0.000123278,0.000213546,,,,,
2022-07-17,149.5894623,33.69565582,51.91363525,143.1204071,87.76390839,93.21661377,0.000750908,-0.000236101,-0.000362133,-1.32201E-05,0.000203025,0.00021761,,,,,
2022-07-18,149.6783752,33.68901062,51.89602661,143.1281281,87.77973938,93.23425598,0.00059438,-0.000197212,-0.000339191,5.39472E-05,0.000180382,0.00018926,,,,,
2022-07-19,149.7391663,33.68629837,51.87259674,143.1408691,87.77822876,93.24343185,0.000406144,-8.05084E-05,-0.000451477,8.90188E-05,-1.72092E-05,9.84174E-05,,,,,
2022-07-20,149.7962494,33.69556427,51.85103607,143.1539764,87.75989532,93.2513443,0.000381217,0.000275064,-0.000415647,9.15692E-05,-0.000208861,8.48579E-05,,,,,
2022-07-21,149.8606262,33.70077896,51.8237915,143.1639404,87.76074982,93.26197739,0.000429763,0.000154759,-0.000525439,6.96033E-05,9.7367E-06,0.000114026,,,,,
2022-07-22,149.901947,33.70700073,51.79884338,143.1572266,87.75876617,93.26475677,0.000275728,0.000184618,-0.000481403,-4.68964E-05,-2.26028E-05,2.98019E-05,,,,,
2022-07-23,149.9355774,33.70715714,51.77882385,143.1434326,87.75298309,93.26359482,0.000224349,4.64006E-06,-0.000386486,-9.63552E-05,-6.58975E-05,-1.24587E-05,,,,,
2022-07-24,149.9547729,33.70919037,51.75597382,143.1459045,87.74753571,93.26267548,0.000128025,6.03205E-05,-0.000441301,1.72689E-05,-6.20764E-05,-9.85746E-06,,,,,
2022-07-25,149.9544525,33.71075439,51.73278809,143.1502686,87.76436615,93.26252594,-2.13687E-06,4.63976E-05,-0.000447982,3.04865E-05,0.000191805,-1.60339E-06,,,,,
2022-07-26,149.9513092,33.7193222,51.71229172,143.1459961,87.75943756,93.25767136,-2.09618E-05,0.000254157,-0.000396197,-2.9846E-05,-5.61571E-05,-5.20529E-05,,,,,
