,Open
2022-06-27 00:00:00,87.62689209
2022-06-28 00:00:00,87.6210022
2022-06-29 00:00:00,87.61681366
2022-06-30 00:00:00,87.61833191
2022-07-01 00:00:00,87.62084961
2022-07-02 00:00:00,87.62553406
2022-07-03 00:00:00,87.63214111
2022-07-04 00:00:00,87.63089752
2022-07-05 00:00:00,87.64500427
2022-07-06 00:00:00,87.66423035
2022-07-07 00:00:00,87.67571259
2022-07-08 00:00:00,87.69089508
2022-07-09 00:00:00,87.73955536
2022-07-10 00:00:00,87.75613403
2022-07-11 00:00:00,87.7807312
2022-07-12 00:00:00,87.77481842
2022-07-13 00:00:00,87.76712799
2022-07-14 00:00:00,87.76451874
2022-07-15 00:00:00,87.75691223
2022-07-16 00:00:00,87.74609375
2022-07-17 00:00:00,87.76390839
2022-07-18 00:00:00,87.77973938
2022-07-19 00:00:00,87.77822876
2022-07-20 00:00:00,87.75989532
2022-07-21 00:00:00,87.76074982
2022-07-22 00:00:00,87.75876617
2022-07-23 00:00:00,87.75298309
2022-07-24 00:00:00,87.74753571
2022-07-25 00:00:00,87.76436615
2022-07-26 00:00:00,87.75943756
2022-07-27 00:00:00,87.76289368
2022-07-28 00:00:00,87.76032257
2022-07-29 00:00:00,87.76594543
2022-07-30 00:00:00,87.77066803
2022-07-31 00:00:00,87.76327515
2022-08-01 00:00:00,87.77506256
2022-08-02 00:00:00,87.78464508
2022-08-03 00:00:00,87.77894592
2022-08-04 00:00:00,87.76815796
2022-08-05 00:00:00,87.75318909
2022-08-06 00:00:00,87.75248718
2022-08-07 00:00:00,87.75524139
2022-08-08 00:00:00,87.77390289
2022-08-09 00:00:00,87.7907486
2022-08-10 00:00:00,87.81768799
2022-08-11 00:00:00,87.82792664
2022-08-12 00:00:00,87.83922577
2022-08-13 00:00:00,87.84584045
2022-08-14 00:00:00,87.86655426
2022-08-15 00:00:00,87.88699341
2022-08-16 00:00:00,87.87495422
2022-08-17 00:00:00,87.88626862
2022-08-18 00:00:00,87.88302612
2022-08-19 00:00:00,87.89546967
2022-08-20 00:00:00,87.89110565
2022-08-21 00:00:00,87.83007813
2022-08-22 00:00:00,87.80967712
2022-08-23 00:00:00,87.79933167
2022-08-24 00:00:00,87.7983017
2022-08-25 00:00:00,87.79548645
2022-08-26 00:00:00,87.79206085
2022-08-27 00:00:00,87.7907486
2022-08-28 00:00:00,87.78059387
2022-08-29 00:00:00,87.76772308
2022-08-30 00:00:00,87.77610779
2022-08-31 00:00:00,87.79466248
2022-09-01 00:00:00,87.78885651
2022-09-02 00:00:00,87.79257202
2022-09-03 00:00:00,87.7897644
2022-09-04 00:00:00,87.78367615
2022-09-05 00:00:00,87.78378296
2022-09-06 00:00:00,87.79337311
2022-09-07 00:00:00,87.79480743
2022-09-08 00:00:00,87.78834534
2022-09-09 00:00:00,87.79454803
2022-09-10 00:00:00,87.78282166
2022-09-11 00:00:00,87.81136322
2022-09-12 00:00:00,87.84398651
2022-09-13 00:00:00,87.86157227
2022-09-14 00:00:00,87.87155151
2022-09-15 00:00:00,87.87433624
2022-09-16 00:00:00,87.88000488
2022-09-17 00:00:00,87.86410522
2022-09-18 00:00:00,87.85002136
2022-09-19 00:00:00,87.85856628
2022-09-20 00:00:00,87.82894135
2022-09-21 00:00:00,87.81771851
2022-09-22 00:00:00,87.83283234
2022-09-23 00:00:00,87.82569885
2022-09-24 00:00:00,87.81031799
2022-09-25 00:00:00,87.81655121
2022-09-26 00:00:00,87.82657623
2022-09-27 00:00:00,87.81423187
2022-09-28 00:00:00,87.80582428
2022-09-29 00:00:00,87.79950714
2022-09-30 00:00:00,87.79432678
2022-10-01 00:00:00,87.79110718
2022-10-02 00:00:00,87.80993652
2022-10-03 00:00:00,87.79059601
2022-10-04 00:00:00,87.77489471
2022-10-05 00:00:00,87.77954865
2022-10-06 00:00:00,87.77866364
2022-10-07 00:00:00,87.77967834
2022-10-08 00:00:00,87.77378082
2022-10-09 00:00:00,87.76480865
2022-10-10 00:00:00,87.75366211
2022-10-11 00:00:00,87.72969055
2022-10-12 00:00:00,87.70109558
2022-10-13 00:00:00,87.68943787
