,Open
2022-06-27 00:00:00,143.1307831
2022-06-28 00:00:00,143.131134
2022-06-29 00:00:00,143.1388855
2022-06-30 00:00:00,143.1415405
2022-07-01 00:00:00,143.1377258
2022-07-02 00:00:00,143.1343079
2022-07-03 00:00:00,143.1229095
2022-07-04 00:00:00,143.1107483
2022-07-05 00:00:00,143.1159668
2022-07-06 00:00:00,143.1198578
2022-07-07 00:00:00,143.1237946
2022-07-08 00:00:00,143.1122742
2022-07-09 00:00:00,143.1010742
2022-07-10 00:00:00,143.1057129
2022-07-11 00:00:00,143.122879
2022-07-12 00:00:00,143.1507568
2022-07-13 00:00:00,143.1518555
2022-07-14 00:00:00,143.1470337
2022-07-15 00:00:00,143.137085
2022-07-16 00:00:00,143.1222992
2022-07-17 00:00:00,143.1204071
2022-07-18 00:00:00,143.1281281
2022-07-19 00:00:00,143.1408691
2022-07-20 00:00:00,143.1539764
2022-07-21 00:00:00,143.1639404
2022-07-22 00:00:00,143.1572266
2022-07-23 00:00:00,143.1434326
2022-07-24 00:00:00,143.1459045
2022-07-25 00:00:00,143.1502686
2022-07-26 00:00:00,143.1459961
2022-07-27 00:00:00,143.1490326
2022-07-28 00:00:00,143.1459808
2022-07-29 00:00:00,143.1497192
2022-07-30 00:00:00,143.1544647
2022-07-31 00:00:00,143.1594543
2022-08-01 00:00:00,143.1601868
2022-08-02 00:00:00,143.1517944
2022-08-03 00:00:00,143.1483002
2022-08-04 00:00:00,143.1594238
2022-08-05 00:00:00,143.1669312
2022-08-06 00:00:00,143.1656494
2022-08-07 00:00:00,143.1619568
2022-08-08 00:00:00,143.1309662
2022-08-09 00:00:00,143.1212769
2022-08-10 00:00:00,143.1274414
2022-08-11 00:00:00,143.1306305
2022-08-12 00:00:00,143.1402588
2022-08-13 00:00:00,143.1517944
2022-08-14 00:00:00,143.1621094
2022-08-15 00:00:00,143.1750793
2022-08-16 00:00:00,143.1608582
2022-08-17 00:00:00,143.1616821
2022-08-18 00:00:00,143.1565399
2022-08-19 00:00:00,143.1395874
2022-08-20 00:00:00,143.1405182
2022-08-21 00:00:00,143.1624298
2022-08-22 00:00:00,143.160965
2022-08-23 00:00:00,143.1707611
2022-08-24 00:00:00,143.1744537
2022-08-25 00:00:00,143.1622314
2022-08-26 00:00:00,143.1577911
2022-08-27 00:00:00,143.1603851
2022-08-28 00:00:00,143.1676636
2022-08-29 00:00:00,143.1785278
2022-08-30 00:00:00,143.1677856
2022-08-31 00:00:00,143.1609039
2022-09-01 00:00:00,143.1454773
2022-09-02 00:00:00,143.1475525
2022-09-03 00:00:00,143.1455688
2022-09-04 00:00:00,143.1450958
